Column1,Customer Name,Date,Reviews,คอลัมน์1,หัวข้อ
0,อำพล , - 8/5/2022 15:57:46,"ขนส่งโคตรแย่  ของมาถึงแล้วแต่ไม่มาส่ง
โทรไปบอกว่าจะมา ก็เงียบ หลายรอบมากเริ่มจะหมดความอดทน",neg,การบริการ
1,ทาม, - 8/5/2022 14:13:44,ของมาถึงเเต่ไม่มาส่งคือยังไงครับ,neg,การบริการ
5,ไก่, - 8/2/2022 11:05:51,ของถึงสาขาปลายทางตั้งแต่30/7/65 ยังไม่ยอมนำส่ง,neg,การบริการ
10,แย่มาก, - 7/28/2022 16:11:41,ส่งของไปไม่ถึงผู้รับ.,neg,การบริการ
11,ริว, - 7/27/2022 14:15:42,แย่มากเบอร์โทก็โทไปก้อรอสายตลอดพัสดุก้อเช็คไม่ได้ทั้งๆที่เลขพัสดุก้อถุก,neg,การบริการ
12,สุพัชนี มีชูคุณ, - 7/27/2022 10:59:14,"โทรสอบถามโทรติด6ครั้งพนักงานนำส่งพัสดุไม่รับสายคะโทรศัพท์พนักงาน
ชื่อ ชลัมพล(64678)",neg,การบริการ
13,กัลยาณี อินทรวิเศษ, - 7/25/2022 13:10:11,ห่วยแตก แย่ถึงแยกที่สุด ปิดสาขาบางหมากไปเลย 5วันแหละ ที่ไม่ได้ของ จากกรุงเทพถึงชุมพร ใช้เวลาส่งเยอะขนาดนี้เลยเหลอ โทรไปที่สาขา ติดสายทิ้งอีก ถ้าไม่ต้องการส่ง แนะนำให้ปิดสาขาบางหมากไปเลย จะได้ไม่ต้องเสียเวลารอของ,neg,การบริการ
15,ณมน  คำดีบุญ, - 7/24/2022 12:31:27,เลวร้ายมาก ปิดบริษัทเถอะถ้าจะห่วยขนาดนี้,neg,การบริการ
22,อนุจิรา, - 7/15/2022 18:29:03,ในระบบขึ้นนำจ่ายเเต่เที่ยงโทรหาพนักงานตั้งเเต่16:00จนตอนนี้ไม่มีคนรับสายตติดต่อพนักงานไม่ได้,neg,การบริการ
25,โชติชญาน์, - 7/14/2022 11:35:09,บริการแย่มาก จากบางกะปิถึงพระโขนงใช้เวลาส่งเป็นอาทิตย์ แถมยังส่งพัสดุไปๆมาๆขึ้นสถานะโทรหาลูกค้าแล้วทางเราไม่ได้รับโทรศัพท์ลงรายละเอียดเท็จอีก โทรหาที่สาขาติดแต่ไม่มีคนรับสาย (สาขาพระโขนง ) บอกเลยเสียความรู้สึกมากๆ บริการสุดแย่มาก,neg,การบริการ
