Column1,Customer Name,Date,Reviews,คอลัมน์1,หัวข้อ
0,วิว, - 8/1/2022 19:25:42,บอกตอนเย็นจะมาส่ง นี่ 5 วันแล้วไม่มาสักที โทรไปไม่รับตัดสายทิ้ง ทุเรศมาก,neg,การบริการ
1,โทรไม่รับควรมาส่งวันอื่น, - 8/1/2022 12:48:31,มิฉาชีพส่งของมาให้ผม,neg,การบริการ
4,บ่แล้ว, - 7/30/2022 16:35:12,ห่วยแตก,neg,การบริการ
5,ต้น, - 7/29/2022 21:52:08,ห่วยแตกมากเช็คติดตามของก็ไม่ สร้างแอปมาให้พ....เช็คคนเดียวหรอ,neg,การบริการ
14,สิริกัลพรรษร, - 7/16/2022 15:18:11,ไม่อยากจะว่านะคะแต่ในรายละเอียดบอกที่อยู่ไม่ชัดเจนไม่ชัดเจนตรงไหนคะในเมื่อให้รายละเอียดไปครบหมดแล้วจังหวัดก็มีค่ะแล้วก็ขึ้นว่าพัสดุมีปัญหา,neg,การบริการ
27,เป็ดแดง, - 6/8/2022 18:25:55,ห่วยแตกฉิปหาย,neg,การบริการ
28,พิม, - 6/4/2022 18:38:45,พัสดุถึงแต่วันที่3 ตอนนี้ยังไม่ได้รับ ห่วยมาก,neg,การบริการ
33,บอกแล้วจะส่งของไวขึ้นป่ะ, - 5/26/2022 14:42:01,ห่วยมากบอกจะส่งแต่เลื่อนส่งแถมยังเอาของไปวิ่งเล่นต่างจังหวัดบ้าบอคนรอก็รอไปดิของต้องรีบใช้เนอะอยากหลีกเลี่ยงขนส่งนี้มากแต่ร้านค้าชอบใช้ขนส่งนี้โครตเซ็งอ่ะไม่อยากให้สักดาวด้วยซ้ำแต่ก็เพื่อมารีวิวนี่แหละ,neg,การบริการ
48,กัน, - 5/15/2022 16:12:12,แล้วขนส่งปลายทางเป็นห่าอะไร โทรหาผู้รับไม่ได้ มีปัญหา แล้วทำไมไม่ติดต่อกลับหาผู้ส่ง แทนที่จะรับผิดชอบสักหน่อยตามหาที่อยู่สิ ทำให้มีคุณภาพหน่อย เสียค่าส่งนะไม่ได้ส่งฟรี,neg,การบริการ
49,ธัญญาภรณ์, - 5/13/2022 20:59:48,"วันแรกโทรมารับไม่ทัน โทกลับภายใน 2 นาทีไม่รับสาย 
วันที่สองโทรมาแจ้งว่าจะเอาสินค้ามาส่งไม่เกินเที่ยง รอจนเลิกงาย ไม่มา 
หลังจากนั้นไม่ได้รับการติดต่ออีกเลย เช็คสถานะอีกที บอกสินค้าตกค้าง ค้างรับ ใจเย็นเพราะคิดว่าเดี๋ยวคงมาส่งวันหลัง งานอาจเยอะน้องส่งไม่ทัน จนตอนนี้กลายเป็นว่า สินค้าถูกตีกลับ คืออะไร บริการแย่มาก เลิกใช้บริการครั้งที่แล้ว เพราะแบบนี้ รอบนี้ยังเหมือนเดิม โทรเข้าสำนักงานใหญ่ ก็เหมือนเดิม ไม่มีอะไรเกิดขึ้น คิดจะปรับปรุงการบริการบ้างไหม",neg,การบริการ
57,ชารี, - 5/9/2022 10:51:35,ใช้รถไม่เหมาะกับงานยังบอกให้ลูกค้าเดินออกมารับของปากทาง  ทั้งที่ทางเข้าได้,neg,การบริการ
62,รหัสพนักงาน111021002, - 5/6/2022 11:54:33,มีโต๊ะให้วาง แค่เอามาวางที่หน้ากระจกรถ ไม่โทรบอกก่อนจะมาส่ง,neg,การบริการ
66,โภคิน, - 5/2/2022 10:40:01,โทรบอกว่าจะเข้าไปเอาของเองครับ แต่พอเข้าไปของดันถูกออกมาส่งแล้วคือไรงง,neg,การบริการ
73,พัทธนันท์, - 4/18/2022 9:47:49,โทรไปไม่มีใครับสายเลย,neg,การบริการ
76,A U I, - 4/14/2022 14:16:16,บอกได้เลย ห่วยครับ ติดต่อก็ยาก ของส่งมาขนาดใส่กล่อง สภาพบุบ ยุบเลยครับ อย่าทำเลยครับ ขนส่งแบบนี้  เลิกใช้บริการเลยครับเจ้านี้ เสียความรู้สึก,neg,การบริการ
82,จักรินทร์ สมานเขตกิจ, - 4/11/2022 9:34:16,เบอร์โทรศัพท์ติดต่อไม่ได้สักเบอร์,neg,การบริการ
85,สร้อย ทานทะวัน, - 4/9/2022 13:28:15,"บ้านเป็ด,เมืองขอนแก่น,ขอนแก่น ส่งสินค้าไม่ได้ไม่มีการติดต่อหาลูกค้า สินค้าส่งไปวันที่ 31/3/2565 ต้นทางโทรสอบถามลูกค้า ลูกค้าแจ้งว่าไม่ได้ปฏิเสธการรับสินค้า แต่ในระบบใส่ว่าลูกค้าปฏิเสธ สาขามีปัญหาเรื่องการส่ง พนักงานไม่พอ พนักงานป่วย ก่อควรจะแจ้งนะคะ",neg,การบริการ
92,สมจิตร , - 4/4/2022 11:43:02,บริการช้ามากครับ,neg,การบริการ
93,พิมพา ประจำที่, - 4/2/2022 14:49:03,เพื่อนส่งพัสดุจากบัวใหญ่ถึงอ.เมืองโคราชตั้งแต่29มีนานี่ปาเข้าไปวันที่2เมษาแล้วพัสดุยังค้างเติ่งที่สาขาหนองกระทุ่มอยู่เลยโทรไปบอกไม่มีพนักงานส่งของหมายความว่าอะไรรอมา4วันแล้วของยังไม่มาถึงมือคนรับเลย,neg,การบริการ
95,Mr.k, - 4/1/2022 12:03:19,บริการแย่มากช้าแบบสุดๆเลิกใช้บริการ,neg,การบริการ
97,ผมเอง, - 3/28/2022 13:37:49,เลิกใช้บริการ ช้ามาก เช็คอะไรก็ไม้่ได้ ดองของ,neg,การบริการ
104,ฉันเอง, - 3/13/2022 9:38:21,ควรปรับปรุงทุกอย่าง ห่วยแตก ของชิ้นใหญ่เสียค่าขนส่งแบบของชิ้นใหญ่ไป จะส่งให้ถึงบ้านก็ไม่ส่ง ให้ไปรับเอง ปิดบริษัทไปเหอะ หลายรอบละ อ้างว่าไม่มีรถมาใหญ่มาส่งให้ ก็ปิดบริการไปซะนะ ไม่ต้องทำมาหากินด้านนี้หรอก ทำบริษัทขนส่งบอกไม่มีรถ ใช้ได้หรอ? สาขาโพธิ์ทอง อ่างทอง,neg,การบริการ
106,แย่, - 3/10/2022 14:57:56,โทรจะมาส่ง  ลอไปชั่วโมงกว่าแล้ว  โทรกลับไปก็ไม่รับสาย  เสียเวลาลอ งานการผมไม่ต้องทำกันแล้ววันนี้,neg,การบริการ
112,:-[, - 2/28/2022 8:26:33,แย่มากๆ รอมาหลายครั้งแล้วต้องไปเอาเอง,neg,การบริการ
114,แสงเดือน, - 2/21/2022 14:16:42,ห่วยแตกมาก ไม่ยอมจัดส่งสินค้า โทรสอบถามก็บอกอย่างเดียวว่าได้ประสานสาขาปลายทางจะให้ติดต่อกลับ และอีกอย่าง แจ้งในระบบว่าเลื่อนเวลานัดรับสินค้า เลื่อนมา 3  เลื่อนเองโดยไม่ได้แจ้งผู้รับสินค้าเลย สอบถามอะไรก็ไม่รู้เรื่องสักอย่าง ขอเบอร์สาขาปลาทางที่สินค้าตกค้าก็ไม่ให้ เสียเงินค่าส่งนะคะ ไม่ได้ใช้ให้ส่งฟรี,neg,การบริการ
115,พีร, - 2/18/2022 19:25:11,ควรโทรแจ้งก่อนส่งนะครับ เพราะนี้เช็คแล้ว ของนำจ่าย ตอน 11 โมง แต่ พอ บ่ายสาม บอก นัดเวลานำจ่ายใหม่ พอ 4 โมงเย็น เช็คอีกที่ ของมีปัญหา นำกลับเข้าคลัง แล้ว แบบนี้ ผมจะได้รับของมัย,neg,การบริการ
127,พัชราภรณ์, - 2/6/2022 20:35:32,รอของ1-2อาทิตย์ยังไม่มา แล้วของที่สั่งไม่ใช่ถูกๆ โทไปไม่มีใครรับ แย่สุดๆไม่ติดว่าจะได้ของแล้วนานเกิน แล้วรับผิดชอบของให้ลูกค้าไหม,neg,การบริการ
132,ฝน, - 1/31/2022 8:27:58,แย่แย่มากๆๆๆๆๆๆๆๆๆๆๆๆๆแย่จนท้อ???????????????????????????????????,neg,การบริการ
133,ผีเสื้อน้อย, - 1/30/2022 19:33:30,ห่วยแตกนัดส่ง5โมงเย็นจนจะสองทุ่มไม่มาส่งโทรไปก้ไม่รับพนง.สาขา.รัตนบุรีจ.สุรินมร์,neg,การบริการ
139,ห่วยแตก, - 1/20/2022 13:50:45,ห่วยมาก,neg,การบริการ
142,สุรัตร์ดา, - 1/18/2022 10:07:14,แย่มากกกก ออกส่งพัสดุมา2วันของยังมาไม่ถึง ไม่รู้ส่งไปดาวอังคารที่ไหน สั่งของพร้อมกันแต่คนละขนส่ง ขนส่งแฟรชมาถึงก่อน2วันละ j&t ห่วยแตก,neg,การบริการ
146,ขวัญ, - 1/13/2022 15:02:58,ติดตามพัสดุระบุว่าเซ็นรับแล้วตั้งแต่วันนที่ 9 ม.ค. แต่พัสดุยังไม่มาถึงผู้รับ ไม่มีการโทรจากพนักงานขนส่ง ติดตามกลับ Call Center ก็ให้เบอร์สาขาที่ติดต่อปรากฎว่าติดต่อไม่ได้ คืออะไร เงียบกริบ ไม่มีการติดต่ออะไรมาเลย ของมูลค่าหลักพัน แล้วจะต้องยังไงต่อ,neg,การบริการ
154,เจ้าของพัสดุ, - 1/9/2022 23:20:25,"ไม่โทรหาลูกค้าก่อนส่งของ
ติดต่อไม่ได้
ส่งของไม่ถึงมือลูกค้า
สาขาประเวศ03",neg,การบริการ
155,บุปผา, - 1/9/2022 7:19:43,สินค้าถึงสาขาปลายทาง2วันแต่พนักงานไม่เอามาส่งสักทีงง มากรออะไรอยู่ตั้งแต่ใช้บริการบริษัทนี้ห่วยสุดแนะนำบริษัทสีส้มดีกว่าเร็วดีส่งด่วนวันเดียวถึง,neg,การบริการ
159,กกก, - 1/6/2022 14:53:06,ห่วยแตกมากของส่งมาตั้งแต่27/12/64 แล้วจนป่านนี้6/1/65ของยังไม่ได้รับติดต่อก็ไม่ได้ เช็คเลขพัสดุบอกกำลังนำส่งบ้างของมีปัญหาบ้าง สินค้าตกค้างบ้าง พอมาวันที่5ตอน2ทุ่มมีการเซ็นรับพัสดุให้ถ่ายรูปอะไรไม่รู้มืดไปหมด แต่ยังไม่ได้รับของทั้งที่ควรได้ตั้งแต่วันที่28-29/12/64แล้ว ควรปรับปรุงเป็นอย่างมากกกก,neg,การบริการ
161,ทำไม สาขาสามพราน04 เออ ออ เอาเองว่าลูกค้าหยุด วันหยุดลูกค้า โดยที่ไม่โทรมาสอบถามลูกค้าก่อน แต่เอาความคิดของตัวเองมาตอบแทนลูกค้า แบบนี้ไม่ไหวน่ะค่ะ, - 1/3/2022 12:23:30,ทำไม สาขาสามพราน04 เออ ออ เอาเองว่าลูกค้าหยุด วันหยุดลูกค้า โดยที่ไม่โทรมาสอบถามลูกค้าก่อน แต่เอาความคิดของตัวเองมาตอบแทนลูกค้า แบบนี้ไม่ไหวน่ะค่ะ,neg,การบริการ
177,เปิ้ล, - 12/22/2021 22:50:57,แย่การส่งมาก..บ่าย2ก้อเลิกส่งแล้วคงคลังไว้,neg,การบริการ
181,ธนะพงศ์, - 12/18/2021 16:45:57,เฮงซวย ผู้ส่งส่งให้คนอื่นวันเวลาเดียวกันเค้าได้รับแล้ว ผมยังไม่ได้ เช็คพัสดุไม่มีการอัพเดทสถานะจัดส่ง โทรหาคอลเซ็นเตอร์บอกจะติดต่อสาขาปลายทางให้ติดต่อกลับ 3 ครั้ง เจ้าหน้าที่ 3 คน ไม่มีใครติดต่อกลับมาหาซักคน,neg,การบริการ
188,น้ำตาล, - 12/10/2021 19:40:19,พัสดุถึงตั้งแต่เช้าไม่โทมาส่งก่อไม่ส่งตีกลับไปกลับมาหลายรอบและแย่ที่สุดในบันดาขนส่งเลย ไม่ได้ใช้บริการมานานมากแล้วคิดว่าจะดีขึ้นแย่ลงทุกวัน( สาขาสรรพยา),neg,การบริการ
201,สุพรรณี, - 12/1/2021 15:05:24,บริการแย่มาก,neg,การบริการ
209,ณัฐปาลิน จ่ามะนี, - 11/27/2021 11:41:43,โทรไปไม่เคยรับ ยังไม่ได้ติดต่ออะไรมาเลยบอกพัสดุตกค้าง ห่วยแตก รอพัสดุ รอให้มันติดต่อกลับก็ไม่ติดต่อกลับ,neg,การบริการ
211,Sss, - 11/26/2021 11:46:33,เราสั่งของแต่โอนเงินแล้ว พอมาส่งมาเก็บปลายทางอีก เราสามารถเช็คคนส่งของได้ไหม แล้วไม่มีการโทรมาก่อน,neg,การบริการ
219,นัส, - 11/22/2021 10:47:15,ส่งของตั้งแต่วันที่ 14/11/64 เช็คสถานะนำจ่ายตั้งแต่วันที่ 15/11 จนวันนี้ 22/11/64 ยังไม่ได้รับสินค้า คือรอออออออออออออออออ จะสั่งสินค้าต่อไปต้องเช็คก่อนแล้วว่าใช้บริการของบริษัทอะไร หากส่งกับ บริษัทนี้ยกเลิกการสั่งเลยขอบอก,neg,การบริการ
239,วรรณิภา, - 11/14/2021 18:40:02,เลื่อนให้มาส่งวันอาทิตย์เพราะอยู่รับของ แต่ไม่มาส่ง และไม่โทมาบอกเหตุผล แถมสินค้าบางอย่างเช็คพัสดุยังตกค้างที่สาขา ต่อไปคงต้องบอกแม่ค้าว่าไม่ให้ส่งขนส่งนี้,neg,การบริการ
243,ณัฐชนน, - 11/12/2021 18:14:43,กากมากครับ,neg,การบริการ
248,ณญา?นัน?, - 11/10/2021 13:30:39,ห่วยจริงไม่อิงนิยาย,neg,การบริการ
249,ชัชวาลย์ , - 11/10/2021 13:18:32,ห่วยแตกสุดๆของส่งมาตั้งแต่วันที่2วันนี้วันที่10ของยังไม่ถึงกะจอกจริงๆ,neg,การบริการ
252,สมฤดี, - 11/9/2021 20:58:41,"ห่วยแตกมาก
พัสดุตกค้างหลายวัน
ไม่นำส่งสักทีเรย",neg,การบริการ
253,ทรงพล, - 11/9/2021 16:36:00,"ห่วยแตก ของถึงตั้งแต่เช้า 6โมงเย็นขิงยังไม่จำหน่าย
อ้อมน้อย",neg,การบริการ
258,ต่าย, - 11/7/2021 0:57:56,คือการขนส่งแย่และช้ามาก สินค้าตกค้าง,neg,การบริการ
268,ธานินทร์  วรรณกุล, - 10/31/2021 13:24:16,บอกจะมาส่งของโทรมาอีกทีไม่มาอะไรกันถ้าขี่เกียจก็ออกสาขาอ.วังสามหมอ,neg,การบริการ
275,ผู้ใช้บริการ, - 10/23/2021 16:49:14,บริการแย่มาก ที่อยุ่ เบอรโทรฯ ก้อระบุชัดเจน แต่บอกว่าลูกค้าแจ้งที่อยุ่ไม่ชัดเจน ตีกลับเป็นพัสดุตกค้างสะงั้น แย่มากก,neg,การบริการ
277,สุภาวดี, - 10/21/2021 16:31:41,บริการห่วยมากเรื่องการนำจ่ายอ้างสารพัดอ้างว่าลุกค้าไท่รับสายทั้งๆๆโทรติดตาทั้งวันสรุปโทรตามของ18ได้ของ21ช่วยพิจารณาด่วยนะค่ะ,neg,การบริการ
279,Tapton, - 10/21/2021 11:29:59,ในรายการบอกว่าถึงสาขาคลองสานแล้วตั้งแต่เที่ยงคืน แล้วไม่มีความคืบหน้าต่อเลยมันหมายความว่าไง สิ้นค้าตกหล่นหรือว่าการจัดว่างระบบห่วยกันแน่ไม่เข้าใจ บ้างครั้งก็ได้ของบ้างก็ไม่ได้ของมา จะเอาไงกันแน่ บริษัทเนี้ย เบื่อละนะ,neg,การบริการ
282,ศรัญทิพย์, - 10/19/2021 9:17:16,ควรปรับปรุงส่งช้าค่ะตกค้างที่สาขาไม่ยอมนำส่งเป็นผลไม้ค่ะ,neg,การบริการ
290,กูนี้ละ, - 10/13/2021 14:15:10,แย่มาก แย่ถึงแย่,neg,การบริการ
294,ฐิชากร, - 10/1/2021 14:15:16,บริการแย่สุดๆ มีเซ็นต์รับพัสดุ ไม่มีพนักงานโทรมา หลายรอบไม่โทรบอกเข้ามาส่ง และที่ส่งมันเป็นที่ทำงาน โทรเช็คทางสาขาบอกจะติดต่อมารอ2ชั่วโมงยังไม่ติดต่อมา โทรเข้าสาขาก็สายไม่วางตลอด โทรเข้าเบอ02-0095678 ก็ไม่ได้คุยสักทีจนสายหลุด3-4รอบ  จากที่ไม่หงุดหงิดตอนนี้อยากด่ามากทั้งสาขาทั้งสำนักงานใหญ่,neg,การบริการ
296,รู้เพื่อ, - 9/28/2021 18:39:31,ห่วยแตกชิปหาย,neg,การบริการ
299,สุรัตน์, - 9/26/2021 15:05:58,โครตห่วย,neg,การบริการ
308,ต่น, - 9/23/2021 10:20:52,แค่กล่องบุบก้อไม่นำจ่าย ไม่ใช้แล้วขนส่งนี้,neg,การบริการ
310,ลูกค้า, - 9/18/2021 17:20:14,"นำจ่ายยุสามครั้งเเล้ว ยังใงก็ขอให้ช่วยติดต่อเเจ้งกลับมาบ้าง
นี่เช็คเเล้วเช็คอีกยังขึ้นนำจ่ายยุ3ครั้งแล้ว2วันแร้วไม่เห้นแจ้งมาบอกเรย ติดต่อไปก็ไม่รับสาย",neg,การบริการ
312,ตา, - 9/16/2021 9:00:46,ของมาถึงตั้งแต่ 14-10-2021 ยังไม่ได้รับของเลยค่ะ  บริการแย่มาก,neg,การบริการ
314,พิรมนต์ สอนดี, - 9/15/2021 15:40:40,ควรจะปิดสาขานี้ไปเลยนะค่ะ ถ้าไม่เต็มใจให้บริการ คนขายของทำงานลำบาก ส่งของไปลูกค้าตั้งแต่วันที่ 11 ก.ย. ที่ชัยนาท ป่านนี้ยังไม่นำจ่าย ส่งของวันเดียวกันไปที่น่าน ตอนนี้ได้รับแล้ว,neg,การบริการ
319,ของเสียตังเองคิดด้วยนะ, - 9/10/2021 14:34:44,บริการแย่มากติดต่อก็ไม่ได้โทรติดก็ไม่รับสายของเสียเงินซื้อมาแถมเสียค่าขนส่งแต่ต้องไปรับของเองแล้วจะเสียค่าขนส่งทำเหี้ยะไร,neg,การบริการ
321,นาย  ก, - 9/10/2021 13:19:40,ค้นหา  สาขามี แต่ไม่มีเบอร์ของสาขา แต่ให้เบอร์ 02-009-5678 โทรไปก้อไม่มีคนรับ ให้มาเพื่อ,neg,การบริการ
323,กสิพัฒน์ เลาหะวรุตม์ชัย, - 9/10/2021 11:41:19,ของถึงสาขาปลายทางตามยากมาก เบอร์พนักงานที่นำส่งก็ไม่มี,neg,การบริการ
329,ปริศนา, - 9/9/2021 11:11:05,พัสดุตกค้าง โทรคอลเซ็นเตอร์020095678 ก็โทรไม่ติด ??,neg,การบริการ
362,พิมพ์, - 9/6/2021 10:16:51,แย่มาก ที่อยู่มีแต่ไม่นำส่ง,neg,การบริการ
366,ขอบคุณวย, - 9/5/2021 19:32:29,ห่วยแตก,neg,การบริการ
367,ปรีญาภร ศรีลาภา, - 9/5/2021 13:26:54,โทรไปควรรับสายเพราะตอนนี้พัสดุตกค้างแล้วยังไม่ได้,neg,การบริการ
393,จันจิรา, - 9/3/2021 16:27:14,ติดต่อใครไม่ได้สักคน ทั้งศูนย์ใหญ่ ทั้งศูนย์ที่สินค้าอยู่,neg,การบริการ
427,๋อรรณพ, - 8/31/2021 16:45:29,ในพื้นที่พระพุทธบาท สินค้าเข้าสาขาตั้งแต่ 6.30 แต่ขึ้นสถานะ 14.30 ว่าค้างส่ง วางแผนวิ่งส่งสินค้าห่วยมากๆ ติดต่อเบอร์ center ก็ไม่มีผู้รับสาย ห่วยมากๆ,neg,การบริการ
438,มาลา, - 8/31/2021 7:36:10,ทำไมพัสดุตกค้าง 3-4วันไม่ได้รับคำตอบ แย่มาก,neg,การบริการ
446,_, - 8/30/2021 10:48:14,ควรปรับปรุง พัสดุตกค้างไม่จัดส่งให้ลูกค้าสักที ไม่แจ้งลูกค้าอีก ขึ้นนำจ่าย 2 วัน ยังไม่ได้สินค้า โทรไปไม่รับ,neg,การบริการ
453,ไม่มี, - 8/29/2021 22:04:06,ไม่มี,neg,การบริการ
459,ฝน, - 8/29/2021 13:32:55,โทรหาไม่มีคนรับเลย เช็คเลขพัสดุขึ้นไม่พบที่บันทึก,neg,การบริการ
461,ณัฐพงษ์, - 8/29/2021 9:06:26,โทรไปศูนย์ไม่มีใครรับสักคน,neg,การบริการ
472,เจน, - 8/28/2021 11:00:11,พัสดุค้าง4วันตามไม่ได้ ระบบขนส่งห่วยแตก,neg,การบริการ
484,อภิชาติ, - 8/27/2021 15:09:55,ที่ศูนย์ตั้งแต่วันที่ 25 26 ไม่นำส่ง ไม่โทรแจ้งเลย  โทรไปcall center ก็ไม่ได้,neg,การบริการ
493,เสี่ยหมา, - 8/27/2021 9:58:58,"ติดต่อสาขายากชิปหาย
โทรไปก็ไม่มีคนรับสาย
????????????????",neg,การบริการ
495,ญาณิศา, - 8/26/2021 20:38:32,แย่,neg,การบริการ
499,pegarjoo, - 8/26/2021 15:46:14,ไมีมีเบอร์ติดต่อ พนักงานส่งช้าไม่อัพเดทสถานะส่ง,neg,การบริการ
500,om, - 8/26/2021 14:43:58,แย่ ห่วย,neg,การบริการ
515,ณัฐฐณิชา, - 8/25/2021 13:15:43,แย่มากตั้งแต่22 ของวนไปวนมาไม่ถึงสักทีเดียวนำจ่ายเดียวตกค้างเดียวนำจ่ายเดียวตกค้าง,neg,การบริการ
516,นาย ขจร สุนทรเวชพง, - 8/25/2021 9:48:20,โทรไปเช็คพัสดุเป็นร้อยสาย ไม่มีคนรับแย่มากครับประจำ,neg,การบริการ
520,สิปาดัน, - 8/24/2021 20:38:55,แย่มาก,neg,การบริการ
521,จามจุรี โอดพัฒ, - 8/24/2021 17:32:24,แย่มากโทรไปไม่รับ ของยังไม่ถึงตอนนี้4วันแล้ว ของยังไม่ถึง,neg,การบริการ
534,หทัยกาญจน์, - 8/23/2021 9:52:28,โทรไป สนง. ไม่มีคนรับสาย และไม่นำส่งพัสดุ,neg,การบริการ
547,พิเชษฐ แดงแพร, - 8/20/2021 19:39:16,คือมาส่งแล้วทำมัยไม่โทรแจ้งด้วยครับว่าจะมีของมาส่ง,neg,การบริการ
554,วาสนา, - 8/20/2021 9:47:25,ติดต่อการติดตามพัสดุยากจังเลยคะ อยากให้มีเบอร์โทรศัพท์ของคลังต่างๆ,neg,การบริการ
562,กนกวรรณ, - 8/19/2021 13:39:30,แย่,neg,การบริการ
566,นิตยา, - 8/18/2021 16:40:00,พัสดุตกค้าง ตัองทำอย่างไร ตัองไปรับเองหราคะ,neg,การบริการ
568,ฝน, - 8/18/2021 16:05:01,เเย่ที่สุดเลยค่ะ,neg,การบริการ
572,Pantipa, - 8/18/2021 15:59:28,ไม่น่าส่งกับ J&T เลย,neg,การบริการ
