Column1,Customer Name,Date,Reviews,คอลัมน์1,หัวข้อ
5,กิ๊บ, - 8/2/2022 13:43:43,ติดต่อยากมากๆๆๆๆจะเช็คของ ของบอกถึงวันที่31ก.ค. จนตอนนี้ยังไม่ถึงอีก เบอร์โทรก็ติดต่อไม่ได้ ทำงานกันยังไงค่ะ,neg,การบริการ
7,Mn, - 8/1/2022 15:31:45,ส่งไม่ทันก็ครัว โทรบอกแจ้งครับ ไม่สมควรระบุติดต่อไม่ได้  ละตอนนี้ก็ยังติดต่อพัสดุไม่ได้ ไม่รู้ไปลงข้างทางรึป่าว,neg,การบริการ
19,สุวิทย์, - 7/27/2022 6:40:26,แย่มากหลายครั้งแล้ว,neg,การบริการ
21,เด็ก ม.7, - 7/26/2022 15:00:21,ของถึงเที่ยง จัดส่งถึงบ้านเย็น บางที่ก็ปาไปจะทุ่มนึง,neg,การบริการ
26,ปาย, - 7/16/2022 14:46:52,"บ่ได้เรื่องเลย
ขอมาถึงตะโดนๆยังบ่ทันได้เห็นเลย",neg,การบริการ
27,วิรัตน์ สืบสันต์, - 7/14/2022 14:19:46,ไม่พอใจอย่างมากค่ะ ส่งด่วน 5 วันแล้วยังไม่ถึง หวย่แตกมาก,neg,การบริการ
33,ห่วยเเตกมาก, - 7/11/2022 15:23:05,บริการไม่ได้เรื่อง  จัดส่งช้ามากๆ,neg,การบริการ
46,juraluck, - 6/29/2022 15:44:31,บริการแย่มาก ของมาถึงตรงคลังหลายวันแล้วก็ไม่ส่ง ขึ้นสถานะว่าลูกค้าเลื่อนรับพัสดุ ทั้งๆที่ไม่เคยติดต่อมาเลย แล้วมีคนอยู่บ้านตลอด,neg,การบริการ
52,piroon, - 6/22/2022 17:18:41,บริการช้าดี,neg,การบริการ
64,ยินดี งามสวน, - 5/26/2022 13:21:03,"บริการแย่มาก ส่งพัสดุจากระนองไปลำพูน ตั้งแต่ 18 พ.ค. จนถึงวันนี้ 26 พ.ค. 65 ยังไม่ถึง ติดตามพัสดุโยนไปโยนมา ทั้งที่แจ้งเรามาว่ากล่องบุบ จะให้ผู้เกี่ยวข้องโทรกลับ ผ่านมา 3วัน  แล้วทำไมเจ้าหน้าที่ไม่ติดต่อกลับสักคน เราตามของเสียทั้งค่าโทร เสียเวลา เสียความรู้สึก  คงไม่ใช้บริการอีกแล้วค่ะ 

เคอรี่คุณอย่าลืมว่า คู่แข่งทางธุรกิจของคุณไม่ใช่น้อยๆ ลูกค้าเขามีตัวเลือกมาก ถ้าสุดท้ายลูกค้าเบื่อในการบริการของคุณไปใช้บริการค่ายอื่น คนที่เสียหายที่สุดคือคุณเอง",neg,การบริการ
