Column1,Customer Name,Date,Reviews,คอลัมน์1,หัวข้อ
1,ชัยวัฒน์, - 7/30/2022 20:04:03,"ขึ้นสถานะส่งสินค้าเรียบร้อย
ถามหน่อยนะมึงไปส่งให้ใครเพราะกูยังไม่ได้รับของเลยการทำงานบริการแบบยังจะมีคนไปใช้บริการอีกหรอครับถ้าจะให้ส่งสินค้าแบบนี้ไม่ต่างจากการหลอกลวงประชาชนที่ไปใช้บริการในเมื่อไม่พร้อมให้บริการก็ปิดตัวเถอะครับเพราะสินค้าเขาส่งเสียเงินกันไม่ได้ส่งฟรีนะผมจะเอาเรื่องฝห้ถึงที่สุดนะครับเพราะผมยังไม่ได้รับพัสดุแต่ทางไปรษณีย์ได้ลงสถานะว่าจำจ่ายสำเร็จซื้งส่งสินด้วยไม่มีผู้เซ็นรับและปิดงานด้วยไม่มีรับเพราะผมไม่ได้รับพัสดุเลยซักชิ้นแบบนี้ไม่ต่างมิจฉาชีพนะเฟรดดีเลแบบนี้ต้องทำไงครับ",neg,การบริการ
3,เอกสุพรรณบุรี, - 7/27/2022 8:14:17,เช็คพัสดุส่งวันที่25/7/65วันที่27/7/65เข้าไปเช็คอีกยังอยู่ที่เดิม สงสัยรอน้ำมันลงอยู่มั้ง,neg,การบริการ
4,อนุชา, - 7/23/2022 18:30:26,"เบอร์โทรอยู่หน้ากล่องตั้ง2เบอร์ไม่โทรหา
แล้วลงสถานะส่งไม่สำเร็จ คนรับเป็นคนเสียค่าส่งเองด้วย ควรบริการให้ดีกว่านี้",neg,การบริการ
24,ติดต่อกลับได้นะ ไม่บอก.ส่งของก่อไม่ถึง.แล้วก้อไห้เราติดตามเอาเองบ้่, - 11/8/2021 10:32:21,ไม่ดีที่สุดตังแต่ผมส่งของมาไม่มีที่ไหนแย่เท่าไปรษณีย์ไทยแล้ว สาขา.รามคำแหง182. ส่งของแบบบ้าๆๆส่งของไปไม่ถึงแต่ไม่มีไครรับของ.บอกว่ามีคนรับเเล้ว.ไห้เราไปตามเอาของเองมึงบ้าติ.,neg,การบริการ
60,เบญจมาศกมลชิด, - 9/5/2021 10:32:59,เข้าใจสถานการณ์นะว่าช่วงนี้ขนส่งงานเยอะ แต่เบอร์โทรสำนักงานควรจะติดต่อได้ มีผู้รับสายเพื่อผู้รับจะไปติดต่อรับพัสดุที่ไปรษณีย์เอง แต่ติดต่อไม่ได้ไม่มีผู้รับสายเลย มีแต่เสียงตอบรับอัตโมัติและก็ตัดสายไป #ปณ.จตุจักร,neg,การบริการ
77,สาวิตรี, - 9/3/2021 21:30:15,ห่วยแตกค่ะ,neg,การบริการ
174,ไม่จำเป็น, - 8/26/2021 11:45:47,ระบบบริการแย่มากๆๆๆๆๆๆๆๆๆๆๆๆ ตรวจสอบพัสดุถึง ศป.ลำพูนตั้งแต่ 19/08/64 จนวันนี้ 26/08/64 ก็ยังไม่ได้รับพัสดุ ติดต่อไม่ได้ไม่หือไม่อือ โทรไม่ติด อะไรสักอย่าง พนง.น้อย หรือตายกลางอากาศคะ บริการช้าเกินกว่ากำหนดแบบนี้ อยากให้ใส่ใจกับการทำงานกันด้วยนะคะ ไม่พร้อมทำงานหรือให้บริการอย่าทำ เสียดายต้องมารอ,neg,การบริการ
214,นายณัฐ?พล? , - 8/21/2021 11:58:55,ควรปรับปรุง?,neg,การบริการ
216,พระอาท, - 8/21/2021 10:52:38,ทำไมไม่โทรหาที่จะส่งก่อน,neg,การบริการ
239,ขอบคุณ, - 8/18/2021 12:47:21,โทรตามพัสดุทางไปรษณีย์ไทยหาดใหญ่ติดยากมาก,neg,การบริการ
335,มโนปา , - 8/9/2021 14:08:21,แย่,neg,การบริการ
341,ไม่ใส่, - 8/9/2021 9:32:14,โทรเช็คพัสดุเมื่อเช้าบอกยังไม่เปิดให้บริการเปิด08:00 โทรอีกที09:30 คือโทรไม่ติดเฉยเลยคือไร งงกับบริการไปรษณีย์,neg,การบริการ
347,ธรรมนูญ, - 8/6/2021 17:05:57,ห่วยแตก ถ้าให้0ดาวได้จะดีมาก,neg,การบริการ
354,ณัฐพล หิรัญวงษ์, - 8/6/2021 9:55:23,ติดต่อสอบถามยากมาก,neg,การบริการ
378,คนมหาเฮง, - 8/4/2021 17:03:16,ควรพัฒนา,neg,การบริการ
424,สุนิสา, - 8/1/2021 9:07:32,ยังไม่ได้รับของ,neg,การบริการ
428,ยังไม่ได้รับ, - 7/31/2021 22:56:26,ยังไม่ได้รับ,neg,การบริการ
447,เนตรนภา, - 7/30/2021 15:44:09,ติดตามของก็ช้า ของติดเป็นอาทิตย์ยังไม่ถึงลูกค้าเลยจ้า,neg,การบริการ
566,ตาช, - 7/18/2021 12:10:44,แย่มาก,neg,การบริการ
601,ขนิษฐา, - 7/16/2021 11:01:47,โทรไม่รับ ไม่มีของส่ง emsควรได้ภายใน1-2 วัน,neg,การบริการ
650,เค, - 7/14/2021 12:34:41,ห่วย,neg,การบริการ
687,xxxx, - 7/12/2021 10:02:07,ไม่เคยโทรหาลูกค้า,neg,การบริการ
705,รวีวรรณ, - 7/9/2021 15:00:32,แย่มากค่ะ ส่งผลไม้ถึงช้าขนาดนี้คงเน่าก่อนมั้งค่ะตรวจสอบไม่ได้โทรไปไม่รับสายบริการแย่นะค่ะ,neg,การบริการ
711,-, - 7/9/2021 11:13:37,บริการล่าช้า,neg,การบริการ
11,??, - 6/24/2022 13:29:10,อยู่นครราชสีมาเเต่ไปส่งสงขลา ส่งให้ใครก็ไม่รู้ตอนนี้ก็ยังไม่ได้รับของ,neg,ความปลอดภัยพัสดุ
